iter	Passed	Remaining
0	157	157652
1	159	79741
2	161	53765
3	163	40807
4	165	32953
5	167	27765
6	169	23984
7	170	21132
8	171	18886
9	172	17079
10	173	15599
11	174	14365
12	175	13300
13	175	12395
14	176	11605
15	177	10913
16	178	10305
17	178	9762
18	179	9269
19	180	8830
20	181	8439
21	181	8081
22	182	7755
23	183	7456
24	184	7177
25	184	6922
26	185	6685
27	186	6462
28	186	6258
29	187	6066
30	188	5888
31	189	5719
32	189	5561
33	190	5414
34	191	5273
35	192	5146
36	192	5020
37	193	4903
38	194	4788
39	195	4681
40	195	4579
41	196	4481
42	197	4386
43	197	4299
44	198	4214
45	199	4134
46	200	4056
47	200	3983
48	201	3911
49	202	3843
50	202	3777
51	203	3713
52	204	3652
53	205	3594
54	206	3539
55	206	3486
56	207	3434
57	208	3382
58	208	3333
59	209	3283
60	210	3240
61	211	3194
62	211	3151
63	212	3109
64	213	3069
65	214	3031
66	214	2992
67	215	2954
68	216	2918
69	216	2882
70	217	2846
71	218	2813
72	218	2779
73	219	2748
74	220	2718
75	221	2688
76	221	2659
77	222	2631
78	223	2602
79	223	2575
80	224	2548
81	225	2524
82	225	2494
83	226	2471
84	227	2447
85	227	2422
86	228	2400
87	229	2377
88	230	2355
89	230	2333
90	231	2312
91	232	2291
92	232	2271
93	233	2250
94	234	2232
95	235	2214
96	235	2196
97	236	2178
98	237	2161
99	238	2143
100	238	2127
101	239	2109
102	240	2092
103	240	2075
104	241	2059
105	242	2043
106	243	2028
107	243	2013
108	244	1999
109	245	1985
110	246	1970
111	246	1956
112	247	1942
113	248	1929
114	248	1914
115	249	1901
116	249	1886
117	250	1872
118	251	1860
119	251	1847
120	252	1835
121	253	1822
122	253	1810
123	254	1799
124	255	1787
125	256	1776
126	256	1764
127	257	1753
128	258	1742
129	258	1731
130	259	1720
131	259	1709
132	260	1698
133	261	1688
134	261	1678
135	262	1667
136	263	1658
137	263	1648
138	264	1639
139	265	1629
140	265	1619
141	266	1609
142	266	1600
143	267	1591
144	268	1583
145	269	1574
146	269	1566
147	270	1558
148	271	1549
149	271	1541
150	272	1532
151	273	1524
152	273	1516
153	274	1508
154	275	1500
155	275	1493
156	276	1485
157	277	1477
158	278	1470
159	278	1463
160	279	1454
161	279	1447
162	280	1440
163	281	1432
164	281	1426
165	282	1420
166	283	1413
167	284	1406
168	284	1400
169	285	1394
170	286	1388
171	287	1381
172	287	1375
173	288	1368
174	288	1362
175	289	1356
176	290	1350
177	291	1344
178	291	1338
179	292	1332
180	293	1326
181	293	1320
182	294	1314
183	295	1308
184	295	1302
185	296	1297
186	297	1291
187	297	1286
188	298	1281
189	299	1275
190	300	1270
191	300	1265
192	301	1260
193	302	1254
194	302	1249
195	303	1244
196	303	1238
197	304	1233
198	305	1228
199	305	1223
200	306	1218
201	307	1213
202	307	1208
203	308	1203
204	309	1198
205	309	1194
206	310	1189
207	311	1185
208	312	1181
209	312	1176
210	313	1172
211	314	1168
212	315	1164
213	315	1159
214	316	1155
215	317	1151
216	317	1147
217	318	1142
218	319	1138
219	319	1134
220	320	1130
221	321	1126
222	322	1122
223	322	1118
224	323	1114
225	324	1110
226	324	1106
227	325	1102
228	326	1098
229	327	1094
230	327	1091
231	328	1087
232	329	1083
233	329	1079
234	330	1075
235	331	1071
236	331	1068
237	332	1064
238	333	1060
239	333	1056
240	334	1053
241	335	1049
242	335	1045
243	336	1042
244	337	1038
245	337	1035
246	338	1031
247	339	1028
248	339	1024
249	340	1021
250	341	1017
251	341	1014
252	342	1011
253	343	1008
254	344	1005
255	344	1002
256	345	998
257	346	995
258	346	992
259	347	989
260	348	986
261	349	983
262	349	980
263	350	977
264	351	974
265	351	970
266	352	968
267	353	965
268	353	961
269	354	958
270	355	955
271	356	952
272	356	950
273	357	947
274	358	944
275	358	941
276	359	938
277	360	935
278	360	932
279	361	929
280	362	927
281	363	924
282	363	921
283	364	918
284	364	915
285	365	912
286	366	910
287	366	907
288	367	904
289	368	901
290	369	899
291	369	896
292	370	893
293	371	891
294	371	888
295	372	886
296	373	883
297	374	881
298	374	878
299	375	875
300	376	873
301	376	870
302	377	868
303	378	865
304	378	863
305	379	860
306	380	858
307	380	855
308	381	853
309	382	851
310	383	848
311	383	846
312	384	843
313	385	841
314	385	839
315	386	836
316	387	834
317	388	832
318	388	829
319	389	827
320	390	825
321	390	822
322	391	820
323	392	818
324	392	815
325	393	813
326	394	811
327	394	809
328	395	806
329	396	804
330	396	802
331	397	799
332	398	797
333	399	795
334	399	793
335	400	791
336	401	789
337	402	787
338	402	785
339	403	783
340	404	780
341	404	778
342	405	776
343	406	774
344	406	772
345	407	769
346	407	767
347	408	765
348	409	763
349	409	761
350	410	758
351	410	756
352	411	754
353	412	752
354	412	749
355	413	747
356	413	745
357	414	743
358	415	741
359	415	739
360	416	737
361	417	735
362	417	733
363	418	731
364	419	729
365	419	727
366	420	725
367	421	723
368	421	721
369	422	719
370	423	717
371	423	715
372	424	713
373	425	711
374	425	709
375	426	707
376	427	705
377	427	703
378	428	702
379	429	700
380	429	698
381	430	696
382	431	694
383	431	692
384	432	690
385	433	688
386	433	687
387	434	685
388	435	683
389	435	681
390	436	679
391	437	678
392	437	676
393	438	674
394	439	672
395	439	670
396	440	668
397	440	666
398	441	664
399	442	663
400	442	661
401	443	659
402	444	658
403	445	656
404	445	654
405	446	652
406	446	651
407	447	649
408	448	647
409	449	646
410	449	644
411	450	642
412	451	641
413	451	639
414	452	637
415	452	635
416	453	634
417	454	632
418	454	630
419	455	628
420	456	627
421	456	625
422	457	623
423	457	621
424	458	620
425	459	618
426	459	616
427	460	615
428	461	613
429	461	611
430	462	610
431	462	608
432	463	607
433	464	605
434	465	604
435	465	602
436	466	601
437	467	599
438	467	597
439	468	596
440	469	594
441	469	592
442	470	591
443	470	589
444	471	588
445	472	586
446	472	585
447	473	583
448	474	581
449	474	580
450	475	578
451	476	577
452	476	575
453	477	574
454	478	572
455	478	571
456	479	570
457	480	568
458	481	567
459	481	565
460	482	564
461	483	562
462	483	560
463	484	559
464	484	557
465	485	556
466	486	554
467	486	553
468	487	551
469	488	550
470	488	548
471	489	547
472	489	545
473	490	544
474	491	542
475	491	541
476	492	539
477	493	538
478	493	537
479	494	535
480	495	534
481	495	532
482	496	531
483	497	530
484	497	528
485	498	527
486	499	525
487	499	524
488	500	523
489	501	521
490	501	520
491	502	518
492	503	517
493	503	515
494	504	514
495	505	513
496	505	511
497	506	510
498	506	508
499	507	507
500	508	506
501	508	504
502	509	503
503	510	502
504	511	500
505	511	499
506	512	498
507	513	496
