iter	Passed	Remaining
0	128	127983
1	128	64365
2	129	43115
3	130	32512
4	131	26119
5	132	21906
6	132	18855
7	133	16564
8	134	14790
9	135	13372
10	135	12210
11	136	11241
12	137	10429
13	138	9739
14	139	9135
15	139	8609
16	140	8146
17	141	7734
18	142	7358
19	143	7019
20	144	6716
21	144	6436
22	145	6184
23	146	5952
24	147	5739
25	147	5540
26	148	5356
27	149	5186
28	150	5024
29	150	4873
30	151	4735
31	152	4603
32	152	4483
33	153	4368
34	154	4263
35	155	4162
36	156	4069
37	157	3979
38	158	3894
39	158	3808
40	159	3730
41	160	3653
42	161	3583
43	161	3516
44	162	3450
45	163	3386
46	163	3325
47	164	3266
48	165	3212
49	166	3159
50	167	3110
51	167	3059
52	168	3013
53	169	2967
54	170	2925
55	170	2881
56	171	2839
57	172	2798
58	173	2760
59	173	2722
60	174	2686
61	175	2651
62	175	2616
63	176	2581
64	177	2548
65	177	2517
66	178	2487
67	179	2458
68	180	2428
69	180	2399
70	181	2372
71	182	2345
72	182	2320
73	183	2296
74	184	2271
75	184	2248
76	185	2225
77	186	2202
78	186	2180
79	187	2158
80	188	2136
81	189	2116
82	189	2092
83	190	2074
84	190	2055
85	191	2037
86	192	2019
87	193	2001
88	193	1984
89	194	1966
90	195	1950
91	195	1933
92	196	1917
93	197	1901
94	198	1886
95	198	1873
96	199	1859
97	200	1845
98	201	1831
99	201	1817
100	202	1804
101	203	1790
102	204	1777
103	204	1764
104	205	1752
105	206	1740
106	207	1728
107	207	1715
108	208	1703
109	209	1691
110	209	1680
111	210	1668
112	211	1656
113	211	1645
114	212	1635
115	213	1624
116	213	1613
117	214	1603
118	215	1594
119	216	1584
120	216	1574
121	217	1563
122	217	1553
123	218	1544
124	219	1535
125	220	1526
126	220	1516
127	221	1507
128	221	1498
129	222	1490
130	223	1481
131	224	1473
132	224	1464
133	225	1456
134	226	1448
135	226	1440
136	227	1432
137	228	1425
138	229	1419
139	229	1411
140	230	1404
141	231	1396
142	231	1389
143	232	1382
144	233	1375
145	233	1368
146	234	1361
147	235	1354
148	236	1348
149	236	1342
150	237	1335
151	238	1328
152	238	1322
153	239	1315
154	240	1309
155	240	1303
156	241	1298
157	242	1292
158	243	1286
159	244	1281
160	244	1274
161	245	1268
162	246	1263
163	246	1257
164	247	1252
165	248	1247
166	248	1241
167	249	1236
168	250	1231
169	251	1225
170	251	1220
171	252	1215
172	253	1210
173	253	1205
174	254	1200
175	255	1195
176	255	1190
177	256	1185
178	257	1180
179	258	1175
180	259	1171
181	259	1168
182	260	1164
183	261	1160
184	262	1155
185	263	1151
186	263	1147
187	264	1142
188	265	1138
189	266	1134
190	266	1130
191	267	1127
192	268	1123
193	269	1118
194	270	1114
195	270	1110
196	271	1106
197	272	1102
198	272	1098
199	273	1095
200	274	1092
201	275	1089
202	276	1085
203	277	1081
204	278	1078
205	278	1074
206	279	1070
207	280	1066
208	281	1063
209	281	1059
210	282	1056
211	283	1052
212	283	1049
213	284	1045
214	285	1042
215	286	1038
216	286	1034
217	287	1031
218	288	1027
219	288	1023
220	289	1021
221	290	1019
222	291	1016
223	292	1014
224	293	1010
225	294	1007
226	294	1004
227	295	1000
228	296	997
229	297	994
230	297	991
231	298	988
232	299	985
233	300	982
234	300	979
235	301	976
236	302	973
237	303	970
238	303	967
239	304	964
240	305	962
241	306	959
242	307	956
243	308	954
244	308	951
245	309	948
246	309	944
247	310	941
248	310	937
249	311	934
250	312	931
251	312	928
252	313	925
253	314	922
254	314	919
255	315	916
256	316	914
257	316	911
258	317	908
259	318	906
260	319	903
261	319	900
262	320	898
263	321	896
264	322	893
265	322	890
266	323	888
267	324	885
268	324	883
269	325	880
270	326	877
271	326	875
272	327	872
273	328	869
274	328	867
275	329	864
276	330	863
277	331	860
278	332	857
279	332	855
280	333	852
281	333	850
282	334	847
283	335	845
284	336	843
285	336	841
286	337	838
287	338	836
288	338	833
289	339	831
290	340	828
291	340	826
292	341	823
293	341	821
294	342	819
295	343	816
296	344	814
297	344	812
298	345	810
299	346	807
300	346	805
301	347	803
302	348	800
303	348	798
304	349	796
305	350	794
306	351	792
307	351	790
308	352	788
309	353	785
310	353	783
311	354	781
312	355	779
313	355	777
314	356	775
315	356	772
316	357	770
317	358	768
318	358	766
319	359	764
320	360	761
321	360	759
322	361	757
323	362	755
324	362	753
325	363	751
326	363	749
327	364	746
328	365	745
329	366	743
330	366	741
331	367	739
332	368	737
333	368	735
334	369	733
335	370	731
336	370	729
337	371	727
338	371	725
339	372	723
340	373	721
341	373	719
342	374	717
343	375	715
344	376	714
345	377	712
346	377	710
347	378	709
348	379	707
349	379	705
350	380	704
351	381	702
352	382	701
353	383	699
354	384	697
355	384	695
356	385	694
357	386	692
358	386	690
359	387	688
360	388	687
361	388	685
362	389	683
363	390	681
364	390	679
365	391	677
366	391	675
367	392	674
368	393	672
369	394	670
370	394	669
371	395	667
372	396	666
373	397	664
374	397	663
375	398	661
376	399	660
377	400	658
378	400	656
379	401	654
380	401	652
381	402	651
382	403	649
383	403	647
384	404	645
385	404	644
386	405	642
387	406	640
388	406	639
389	407	637
390	408	635
391	408	634
392	409	632
393	410	630
394	410	629
395	411	627
396	412	626
397	413	624
398	413	623
399	414	621
400	415	620
401	415	618
402	416	616
403	416	615
404	417	613
405	418	611
406	418	609
407	419	608
408	419	606
409	420	604
410	420	603
411	421	601
412	422	599
413	422	598
414	423	596
415	423	595
416	424	593
417	425	591
418	425	590
419	426	589
420	427	588
421	428	586
422	429	585
423	430	584
424	430	583
425	431	581
426	432	580
427	432	578
428	433	576
429	434	575
430	434	573
431	435	572
432	435	570
433	436	569
434	437	567
435	437	566
436	438	564
437	439	563
438	439	561
439	440	560
440	441	559
441	441	557
442	442	556
443	443	555
444	444	553
445	444	552
446	445	551
